订单编号,平台订单号,商品图片,SKU列表,货代,货代渠道,快递单号,订单总额,称重重量,结算重量,实际到款金额,实际采购成本,实际快递费用,包装费,实际毛利润,付款日期,店铺名,发货时间,国家,结算运费
367122,501817631419972,http://g02.a.alicdn.com/kf/UT86V5SXWtaXXagOFbXC.jpg,MSST086-39royalblue6.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM307850230CN,219.96,0,,208.96,74.4,,0.5,134.06,2017-03-09 09:37:07,NH,2017-03-13 15:35:57,France,22.0
367279,82529697332055,http://g02.a.alicdn.com/kf/UT8c_W3X40XXXagOFbXM.jpg,MSJN060-41blue8*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LX290920190CN,266.76,993,,253.42,118.0,,0.5,134.92,2017-03-12 07:10:22,NH,2017-03-15 16:30:07,Israel,91.51
367695,82645166404452,http://g01.a.alicdn.com/kf/UT8BsDfX.xXXXagOFbXe.jpg,MSJN050-43greyandblack9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW029111612CN,287.3,1122,,272.94,130.0,,0.5,142.44,2017-03-19 06:42:44,NH,2017-03-22 15:49:12,United States,93.15
366676,501722787800519,http://g02.a.alicdn.com/kf/UT8i_pNX5haXXagOFbXM.jpg,DSBC001-39black6.5*1<br/>DSBC004-39blackgold6.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM298889076CN,243.1,827,,230.95,75.7,,0.5,154.75,2017-03-01 15:44:44,NH,2017-03-08 16:46:22,Russian Federation,74.16
366579,501683883696180,http://g02.a.alicdn.com/kf/UT8ez0.X20aXXagOFbXs.jpg,DSBC001-38black6*3,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM293465398CN,304.395,1295,,289.18,113.52,,0.5,175.16,2017-02-28 20:46:38,NH,2017-03-02 15:58:59,Russian Federation,111.6
366582,501711627306180,http://g02.a.alicdn.com/kf/UT8ez0.X20aXXagOFbXs.jpg,DSBC001-38black6*3,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM294726090CN,304.395,1277,,289.18,113.52,,0.5,175.16,2017-02-28 20:48:28,NH,2017-03-03 15:34:39,Russian Federation,110.16
366581,501706271106180,http://g02.a.alicdn.com/kf/UT8ez0.X20aXXagOFbXs.jpg,DSBC001-35black4.5*1<br/>DSBC001-37black5.5*2,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM293015561CN,304.395,1225,,289.18,112.44,,0.5,176.24,2017-02-28 20:43:37,NH,2017-03-02 15:59:07,Russian Federation,106.0
366729,501738477294399,http://g04.a.alicdn.com/kf/UT8iViFX24aXXagOFbXz.jpg,DSBC011-39red6.5*1<br/>DSBC011-40red7*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM298889102CN,286.52,1032,,272.19,94.5,,0.5,177.19,2017-03-03 08:53:18,NH,2017-03-06 16:12:23,France,94.24
366576,501706233126180,http://g02.a.alicdn.com/kf/UT8ez0.X20aXXagOFbXs.jpg,DSBC001-41black7.5*3,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM293015589CN,304.395,1481,,289.18,111.0,,0.5,177.68,2017-02-28 20:51:00,NH,2017-03-02 15:59:23,Russian Federation,126.48
366577,501694057046180,http://g02.a.alicdn.com/kf/UT8ez0.X20aXXagOFbXs.jpg,DSBC001-39black6.5*3,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM293015575CN,304.395,1403,,289.18,111.0,,0.5,177.68,2017-02-28 20:49:39,NH,2017-03-02 15:59:28,Russian Federation,120.24
367471,82569044205944,http://g02.a.alicdn.com/kf/UT8jtOTXWRXXXagOFbXK.jpg,OBDS037C1blackOther*1<br/>OBDS037C2wolfbrownOther*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW011686942CN,379.34,1688,,360.37,138.0,,0.5,221.87,2017-03-15 11:14:13,NH,2017-03-18 14:59:24,United States,135.6
367542,501905195744399,http://g02.a.alicdn.com/kf/UT8E_WVX2VaXXagOFbXo.jpg,DSBC001-40red7*2<br/>DSBC001-41red7.5*2,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM317006748CN,392.08,2013,,372.48,150.08,,0.5,221.9,2017-03-16 06:50:23,NH,2017-03-20 15:28:09,France,162.91
